Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FS1	FS2	AS1	AS2	AS3
ANO4	2.22105	1.87265	3.39714	3.79253	3.39714	2.22105	1.24592	1.44896	1.43066	1.86533	1.72377	1.66911	1.02937
ANO6	28.6355	31.4806	34.9651	44.1756	34.9651	28.6355	29.822	34.4644	27.5224	32.8382	29.8856	33.1541	28.8731
ANP32AP1	52.5632	53.3916	49.598	62.3605	49.598	52.5632	66.7975	64.6766	10.2821	14.4082	66.1692	5.57705	13.2658
ANXA1	3.7888	3.42194	12.8027	34.8833	12.8027	3.7888	44.6258	53.056	13.7001	11.7362	54.5786	72.8314	18.5898
ANXA11	24.0375	21.0094	43.1881	33.7594	43.1881	24.0375	14.6611	10.8983	44.1336	52.9951	12.2438	241.336	72.7904
ANXA2P3	7.96024	6.57714	19.9806	30.1371	19.9806	7.96024	8.93712	12.825	9.80461	6.31576	11.8564	1	1
AP1S2	53.1289	54.0587	58.2642	83.7731	58.2642	53.1289	62.164	84.8944	15.7559	4.38351	66.6754	7.26138	11.7938
AP3B2	6.12866	6.09161	4.84377	3.03561	4.84377	6.12866	1.33904	1.42279	4.33593	2.38181	1.96533	1	1.83071
AP3M1	24.3179	25.6935	24.6743	31.679	24.6743	24.3179	32.0183	41.8111	16.46	15.8342	33.7731	9.05144	13.2928
APAF1	9.06666	9.67963	16.921	20.0567	16.921	9.06666	13.885	16.7652	9.68906	8.17738	13.8487	7.91769	9.00617
APOA2	1	1	32.458	29.1313	32.458	1	11.0472	11.9673	26.1571	39.5426	29.5784	5.63226	1.40747
APOBEC1	1	1	1	1	1	1	1	1	3.54077	15.2282	1	232.677	22.749
APOLD1	1.20913	1.1765	2.25625	2.40539	2.25625	1.20913	2.72047	3.09436	5.22256	4.86801	4.32974	3.16419	34.4581
ARAP2	1.51138	1.58123	1.8845	1.92644	1.8845	1.51138	1.17427	1.26547	2.63868	5.82536	1.22137	13.2416	3.09009
ARAP3	12.8276	12.7661	8.57236	4.79443	8.57236	12.8276	5.84011	4.69755	6.42674	6.63814	5.44384	2.18729	4.79345
ARFGAP3	12.388	12.5135	22.3131	23.227	22.3131	12.388	17.7458	18.8819	24.5242	34.2894	19.5055	55.943	21.8595
