Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FS1	FS2	AS1	AS2	AS3
SLC44A1	26.1681	27.8785	26.2639	32.5714	26.2639	26.1681	14.5321	14.4018	28.5564	24.197	13.9567	8.79181	17.4135
SLC4A10	1.34584	1.38169	1.04668	1.0581	1.04668	1.34584	1.09677	1.04654	1.28054	1.2005	1.0437	1	1.05887
SLC50A1	35.1573	30.3769	20.19	15.6296	20.19	35.1573	16.6479	16.5496	19.8936	32.9102	16.8433	53.6769	82.4172
SLC5A1	1.01195	1	1.01371	1	1.01371	1.01195	1.01137	1.01094	4.02443	15.3403	1	365.591	201.552
SLC6A13	1.0888	1.098	1.15413	1.03858	1.15413	1.0888	1.02977	1.12295	1.20219	1.22636	1	11.3583	1.36376
SLC6A17	1.05289	1.04864	1.01011	1.01259	1.01011	1.05289	1.02516	1.01614	1.11171	1	1.1515	1	1.44207
SLC6A18	1	1	1	1	1	1	1	1	1	1	1	1	1
SLC7A1	28.4813	29.6999	11.4667	11.6442	11.4667	28.4813	16.5444	17.1737	7.22417	6.29669	18.2385	4.69908	36.4344
SLC7A5P2	1.04686	1.02586	1.32257	1.20073	1.32257	1.04686	1.06687	1.02144	1.29678	1.53624	1.05033	1	2.54093
SLC7A6	16.9023	17.1266	32.5902	38.0944	32.5902	16.9023	13.4273	15.5749	7.93426	6.31554	13.6614	4.41623	9.8444
SLC7A6OS	8.23253	8.73898	6.91245	8.85293	6.91245	8.23253	10.7358	11.4017	8.23427	7.6505	10.7809	6.71311	7.99306
SLC7A8	63.5683	65.1413	9.72386	5.48923	9.72386	63.5683	23.624	20.3723	13.757	32.8786	26.3204	13.9562	48.7626
SLC7A9	1.11044	1.04062	1.04223	1.10514	1.04223	1.11044	1	1.10108	19.1955	81.8126	1.03954	33.5326	8.06955
SLFN5	4.33236	4.70493	16.1247	19.4727	16.1247	4.33236	5.32851	5.47949	4.20799	2.97816	5.20038	6.13766	8.16806
SLIRP	549.31	507.518	247.529	352.083	247.529	549.31	221.79	288.4	38.865	59.4639	256.167	403.012	32.4298
SLITRK1	2.97314	2.99087	1	1.05153	1	2.97314	1.30931	1.22036	1.52925	1.08537	3.10688	1	1.04643
SLMAP	19.8678	22.1525	15.1102	18.4317	15.1102	19.8678	13.8957	16.2058	30.9526	16.1555	13.8481	24.6548	14.7591
SLN	1	1.22926	1	1	1	1	1	1	1.54066	3.31022	1	1	1
SMAD6	1.44992	1.58909	18.1186	20.4208	18.1186	1.44992	3.85707	2.60444	9.6379	16.9641	3.09088	1	27.7283
SMARCA1	62.8883	65.5996	59.4087	71.4361	59.4087	62.8883	94.9804	113.925	21.9368	18.4446	85.0374	3.55112	4.91862
SMARCAD1	47.3159	50.3428	54.9045	78.1296	54.9045	47.3159	46.1793	57.719	13.7998	14.7303	45.5174	7.43917	9.64831
SMC2	29.7316	32.7056	22.3232	29.9708	22.3232	29.7316	33.5361	44.835	11.0423	9.3734	32.3805	2.0399	8.08357
SMCO3	1.05751	1.09521	1.06598	1.12318	1.06598	1.05751	1.10942	1.13159	1.14997	1.09082	1.09266	1	1.16705
SMEK2	20.1288	21.019	27.1454	31.7176	27.1454	20.1288	29.6627	35.6943	22.6677	30.9944	28.8016	27.8211	22.5995
SMG1	24.1541	26.6493	23.8319	30.1686	23.8319	24.1541	12.0371	14.3141	17.4332	18.1196	12.3037	8.10826	9.05742
SMG1P2	1.34239	1.41074	1.54658	1.59523	1.54658	1.34239	1.4957	1.42239	1.05548	1.44619	1.47973	1.65503	1.43124
SMG1P3	1.72124	1.74625	2.28009	2.3196	2.28009	1.72124	1.31092	1.37133	1.42841	1.39099	1.26632	1.24777	1.95691
SMG1P5	1.00001	1.00001	1.00001	1.00001	1.00001	1.00001	1.00001	1.00001	1.328	1.39963	1.00001	1	1.41192
SMIM21	1	1	1	1	1	1	1	1	1	1	1	3.07599	1
SMIM3	32.2411	29.4498	3.97241	3.52731	3.97241	32.2411	20.2535	19.6876	11.1104	6.10258	15.7956	22.4873	22.2962
SMIM9	1	1	1	1	1	1	1	1	1	1	1	1	1
SMNDC1	52.6697	54.5235	54.5488	79.7863	54.5488	52.6697	51.8663	62.5413	16.9249	17.8556	49.3961	22.7962	17.0625
SMOC1	2.00116	2.07048	1.08974	1.02234	1.08974	2.00116	19.4986	19.7139	2.17775	1.59228	17.6519	2.03263	1.69495
SMTNL2	2.07186	1.69586	1.14468	1.04502	1.14468	2.07186	2.94951	2.52931	1.79813	5.97688	2.79479	1	2.03844
SNAPC1	11.7841	12.5577	11.7118	13.2498	11.7118	11.7841	17.5555	19.7828	3.45737	3.40909	14.9775	1.98178	3.58561
SNAPC3	13.0568	13.3472	23.7238	26.5559	23.7238	13.0568	30.5754	37.4276	12.6754	12.5108	27.4302	3.91257	5.89438
SNAR-I	1	1	1	1	1	1	1	1	1	1	1	1	1
SND1	103.669	105.242	129.502	113.988	129.502	103.669	124.587	103.1	49.5937	75.3775	114.305	39.5744	55.5613
SNHG12	27.244	25.7944	11.0764	15.4365	11.0764	27.244	12.5611	19.413	16.5679	25.1703	16.686	62.6724	17.2562
SNHG18	5.17307	4.00777	18.3936	18.9383	18.3936	5.17307	3.87635	4.00111	6.23308	12.4111	4.79653	20.7769	16.05
SNHG20	4.49832	5.39721	2.81545	3.5621	2.81545	4.49832	2.72685	2.18225	3.50492	4.92431	2.38382	3.45279	5.09053
SNORA1	50.3831	55.5021	34.9969	184.351	34.9969	50.3831	19.7928	46.2002	33.5772	24.9421	11.6093	1	1
SNORA11B	1	1	1	1	1	1	1	1	1	1	1	1	1
SNORA16A	1	29.9694	21.0781	1	21.0781	1	9.32409	17.0168	70.9018	52.1397	1	1	56.2811
SNORA18	140.356	195.815	150.235	200.001	150.235	140.356	62.8707	60.5242	191.888	166.783	90.8161	1	63.659
SNORA25	10.2904	21.5068	54.2982	133.667	54.2982	10.2904	45.1934	26.5104	148.784	133.626	80.8366	1	1
SNORA30	1	1	12.6898	15.5489	12.6898	1	10.6929	1	1	1	1	1	1
SNORA32	14.2228	15.5935	16.1717	114.294	16.1717	14.2228	51.3197	158.336	205.236	125.17	29.4075	1	1
SNORA40	142.074	96.8139	38.3538	171.462	38.3538	142.074	42.2969	40.7307	72.0485	163.709	1	1	89.6452
SNORA44	93.9037	52.267	11.6596	67.3336	11.6596	93.9037	9.83867	26.5104	81.0496	56.2609	20.9591	1	188.977
SNORA57	12.5482	1	7.62503	1	7.62503	12.5482	17.48	6.28495	12.8506	7.08947	44.4166	1	26.5547
SNORA61	257.792	142.705	102.991	127.935	102.991	257.792	66.7749	100.44	111.763	228.45	43.4372	1	215.611
SNORA70F	1	1	1	1	1	1	1	1	12.3354	30.5423	1	1	1
SNORA77	1	26.5479	1	17.5281	1	1	1	1	31.1479	30.5681	1	1	1
SNORA79	8.3584	9.12116	1	1	1	8.3584	1	7.73512	1	1	1	1	1
SNORA8	409.711	368.544	296.264	530.601	296.264	409.711	332.234	278.105	102.815	145.603	228.646	1	42.5146
SNORA84	19.0291	1	21.6863	1	21.6863	19.0291	9.57625	9.25098	1	1	16.3009	1	1
SNORD107	1	1	1	1	1	1	1	1	67.6958	1	1	1	1
SNORD108	1	1	335.595	1	335.595	1	853.325	1	1	1	1	1	1
SNORD109B	1	1	1	1	1	1	1	1	1	1	1	1	1
SNORD115-45	1	1	1	1	1	1	1	1	1	1	1	1	1
SNORD115-46	1	1	1	1	1	1	1	1	1	1	1	1	1
SNORD115-47	1	1	1	1	1	1	1	1	1	1	1	1	1
SNORD115-48	1	1	1	1	1	1	1	1	1	1	1	1	1
SNORD123	1	61.3142	63.7038	79.0397	63.7038	1	1	1	1	1	1	1	1
SNORD45A	1451.3	1677.86	634.926	1480.32	634.926	1451.3	66.7043	64.2123	71.4555	399.72	223.556	1	1
SNORD45B	539.09	594.867	1	769.397	1	539.09	1	1	290.879	1	1	1	1
SNORD45C	616.753	227.527	354.253	147.55	354.253	616.753	1	94.9329	49.0267	1	1	1	1
SNORD5	453.653	167.525	520.367	1293.78	520.367	453.653	1	139.104	705.186	1	1	1	1
SNORD59A	129.39	709.493	1	551.025	1	129.39	1	236.03	1	1	138.914	1	1
SNORD59B	129.39	1	1	1	1	129.39	123.148	1	171.574	1	1	1	1
SNORD6	718.453	594.867	824.195	769.397	824.195	718.453	1	329.341	653.227	1	1	1	1
SNORD64	1	1	1	1	1	1	1	1	1	1	1	1	1
SNORD67	20.4312	1	1	28.5847	1	20.4312	1	1	12.7786	1	1	1	1
SNORD72	1	1	1	1	1	1	1	1	44.1483	1	1	1	1
SNORD90	1	1	1	1	1	1	1	1	1	1	1	1	1
SNORD98	1	1	1	1	1	1	1	1	95.6372	1	1	1	1
SNORD99	90.3123	395.281	205.951	128.539	205.951	90.3123	1	82.7473	173.593	965.715	1	1	1
SNRK	6.20069	7.08987	7.72712	7.64646	7.72712	6.20069	7.694	8.60473	16.0625	13.8173	7.77698	18.5039	18.7133
SNRNP48	16.6233	17.1946	10.3184	14.3272	10.3184	16.6233	24.5986	29.2472	8.42818	8.24108	21.5676	6.75281	6.74077
SNRPN	603.687	572.25	306.755	310.186	306.755	603.687	195.57	215.302	39.9261	43.779	189.388	68.9229	28.2679
SNTG2	4.40849	4.04528	1.40971	1.27814	1.40971	4.40849	1.27795	1.02971	1.04837	1.05128	1.17435	1.71656	1.44038
SNURF	182.118	188.103	167.413	65.6834	167.413	182.118	107.163	12.9508	18.5393	7.78105	93.2684	1	2.00513
SNW1	61.4067	59.6332	42.5728	54.7713	42.5728	61.4067	74.8123	94.0353	25.2202	26.6451	71.2952	50.5572	21.2668
SOBP	2.12385	2.0603	1.25998	1.3365	1.25998	2.12385	2.73315	2.84163	4.24299	1.44301	3.93043	1.79673	2.1364
SOCS2	16.1681	14.4831	37.893	47.1367	37.893	16.1681	11.0352	13.0566	10.6937	11.6322	12.8912	6.16482	8.4492
SOCS2-AS1	2.77185	3.44439	7.60739	9.64523	7.60739	2.77185	3.24776	2.35164	3.96129	1.58854	2.42747	1	1
SORL1	28.1367	30.1658	17.5024	18.4305	17.5024	28.1367	11.7633	9.8784	32.9333	30.8079	8.69482	5.67921	4.71584
SOWAHC	9.25028	10.7288	17.5378	23.4234	17.5378	9.25028	9.67845	10.5854	14.8184	11.398	10.6668	6.66951	8.63071
SOX11	14.7563	16.3663	16.1948	20.6624	16.1948	14.7563	25.8624	28.2728	4.48221	1.62711	31.8768	1	1.04948
SOX13	18.411	17.1768	10.1541	8.54159	10.1541	18.411	7.20664	6.77737	11.5145	16.3469	7.35555	10.6294	12.97
SOX5	1.35634	1.31049	7.83982	8.23989	7.83982	1.35634	6.3426	6.26507	3.84909	2.48824	7.45874	1.41307	1.76114
SOX6	1.05676	1.0415	1.22436	1.36931	1.22436	1.05676	1.99791	2.08544	7.7857	15.7661	2.36462	5.98807	3.49136
SP3	34.567	35.4494	31.5223	41.3662	31.5223	34.567	41.5235	51.4196	23.6994	23.9274	39.6761	16.102	15.4968
SPA17	10.9805	13.0096	21.0105	26.0697	21.0105	10.9805	35.8147	41.9312	4.1848	4.13077	32.1435	1	5.22468
SPACA1	1	1	1	1	1	1	1	1.03861	1	1	1	1	1
SPACA3	1	1	1	1	1	1	1.25354	1.16262	1.26434	3.11448	1.28627	1	1
SPAG9	19.2809	20.7516	34.7125	40.3256	34.7125	19.2809	18.9318	22.0669	25.3243	20.7066	22.5577	14.0078	12.0235
SPAM1	1.05931	1.03273	1.12984	1.33883	1.12984	1.05931	1.02821	1.05429	1.06629	1.60896	1.22301	1	1.11489
SPATA16	1.34451	1.25348	1.03294	1.041	1.03294	1.34451	1	1	1	1	1	1	1
SPATA31C1	1.01528	1.03373	1	1	1	1.01528	1	1	1.03417	1.06027	1.01642	1.67249	1
SPATA31C2	1.12288	1.08476	1	1	1	1.12288	1.01461	1	1.0229	1.01212	1	1	1
SPATA5L1	7.2446	6.75865	6.54341	7.4858	6.54341	7.2446	9.272	9.46966	8.2803	10.2161	7.72816	10.6306	7.06439
SPECC1	31.5652	31.8548	16.8246	15.8565	16.8246	31.5652	17.7402	17.2018	7.46565	11.0606	18.0724	19.3605	7.15778
SPECC1L	15.1864	14.8332	14.6735	17.1546	14.6735	15.1864	19.5183	20.9051	18.9681	12.6702	20.3766	10.8821	13.5783
SPECC1L-ADORA2A	2.5395	3.16001	2.13502	1.89953	2.13502	2.5395	1.7255	1.5435	1.60157	1.48737	1.8156	1	1
SPESP1	1	1	1	1	1	1	1	1.04075	1.43121	1.44825	1	1	2.557
SPG21	62.6206	60.7547	53.2455	62.1409	53.2455	62.6206	78.9479	86.8423	38.9158	81.1916	73.9235	66.0724	45.2412
SPHK1	1.03377	1.03727	1.23258	1	1.23258	1.03377	1.09642	1.09276	1.91439	1.32026	1.07257	14.4279	11.7609
SPHKAP	1	1	1.15145	1.09424	1.15145	1	1.05494	1	1.04919	1.02601	1.06203	1.18128	1.0159
SPIN4	10.4644	11.6615	4.84968	6.33024	4.84968	10.4644	27.1349	25.9518	6.19958	5.32213	25.0873	1.61504	3.9693
SPOCK2	1.11726	1.14118	1.08371	1.09133	1.08371	1.11726	2.01419	1.43907	8.51396	2.98367	2.72873	2.64043	23.629
SPOPL	7.65878	7.67299	7.66532	9.50712	7.66532	7.65878	9.23365	11.7065	12.5475	10.9002	9.48991	8.8175	6.43228
SPP1	31.2833	32.581	7.22248	15.2463	7.22248	31.2833	40.969	36.459	18.109	2.65202	55.0967	2.86156	9.00938
SPPL2A	17.1562	15.5798	21.8719	31.4435	21.8719	17.1562	15.7928	18.5395	14.7339	19.6347	15.8428	29.1438	17.1783
SPRR2A	1	1	1	1.32987	1	1	1	1	1	1	1	3.59019	1
SPRR2B	1	1	1	1	1	1	1	1	1	1	1	1	1
SPRR2D	1	1	1.13114	1	1.13114	1	1	1	1	1	1	3.56251	1.67554
SPRR2E	1	1	1.13141	1	1.13141	1	1	1	1	1	1	1	1
SPTBN1	39.3349	40.6178	63.0619	53.9929	63.0619	39.3349	28.2697	21.7814	97.0749	71.0944	25.7579	34.8706	46.1279
SPTY2D1-AS1	2.38086	2.32861	2.0668	2.7346	2.0668	2.38086	1.80699	1.23698	1.96424	1.39541	2.14993	1	1
SQRDL	1.20411	1.15017	1.03903	1	1.03903	1.20411	1.32364	1.28023	53.2026	38.9116	1.29233	80.6124	37.2634
SRCAP	10.5064	10.9869	15.5392	10.5793	15.5392	10.5064	9.32042	6.96469	19.5568	19.3935	9.6687	11.5146	21.2929
SRM	36.7236	34.617	22.4619	15.6691	22.4619	36.7236	26.5265	22.2839	13.2922	14.8261	28.2294	24.7743	30.427
SRP68	50.9732	49.2656	41.1727	44.9272	41.1727	50.9732	55.7968	56.8344	26.3513	26.9297	52.3939	34.9719	32.2363
SRPX2	1	1	1	1.03928	1	1	1.26172	1.20143	4.38201	2.60726	1.5319	1.60667	3.44999
SRSF2	249.448	240.476	199.996	293.637	199.996	249.448	157.783	204.286	79.9023	93.2282	161.331	100.633	148.413
SRSF4	66.0387	64.7962	57.1098	56.1418	57.1098	66.0387	69.4686	67.9467	47.2422	54.1882	63.9503	63.1117	57.7986
SSFA2	5.05174	4.88766	9.10567	9.99775	9.10567	5.05174	31.6476	32.4771	48.4823	42.1593	32.2184	28.1468	36.3419
SSTR2	4.64223	4.67023	4.58852	5.01392	4.58852	4.64223	1.65913	1.56166	3.12427	2.62439	2.25453	1	3.75513
SSTR3	1.12465	1.06807	1	1	1	1.12465	1	1	1.54639	1.30545	1.06625	1.33929	1.14891
SSX8	1	1	1	1.06276	1	1	1	1	1	1	1	1	1
ST3GAL3	3.51482	2.6787	5.18795	2.28308	5.18795	3.51482	6.96018	5.89018	4.98758	3.0363	7.59553	2.89543	4.49066
ST6GAL2	6.96619	7.17348	8.17034	8.89297	8.17034	6.96619	22.0912	23.2586	4.57593	1.51031	20.0986	1	1
ST7	12.2794	11.3679	4.13959	5.04195	4.13959	12.2794	7.20914	8.79586	9.63225	14.2185	11.3646	7.04118	7.25457
ST7-AS1	2.25555	2.09467	1.53745	1.57319	1.53745	2.25555	1.84072	2.18153	1.75572	1.33127	2.06827	1	1.94311
ST7-AS2	1	1	1.0546	1	1.0546	1	1.09055	1	1.09854	1	1	1	1
ST7-OT4	1.15975	1.08815	1.18329	1	1.18329	1.15975	1.03799	1.03655	1.06176	1.1455	1	1	1.07751
STAB2	1.04084	1.0601	1.08591	1.13609	1.08591	1.04084	1.01295	1.05607	1.89313	1.71899	1.00731	1	1.03937
STARD13-AS	1.12388	1.13672	1	1	1	1.12388	1.11786	1	1.3683	1	1.13307	1	1.24455
STEAP4	1.04381	1.04237	1	1	1	1.04381	1.01389	1	1.19078	1.311	1.01569	1.5629	9.11929
STK16	7.23832	6.30858	9.57747	5.26164	9.57747	7.23832	9.7192	7.89752	7.8664	10.1174	9.48082	20.801	14.253
STK17B	4.41527	4.01307	3.11286	3.00279	3.11286	4.41527	6.51043	7.32056	4.23213	7.728	5.88767	22.6531	6.92912
STK32B	3.60504	3.35596	1.58119	1.49084	1.58119	3.60504	1.49912	1.57954	3.54819	1.19982	1.91333	1	1.27968
STK33	16.5009	16.1561	8.94426	14.0874	8.94426	16.5009	12.5517	14.3536	3.63015	2.9309	12.9045	2.30091	2.19889
STK38L	29.858	31.6907	28.7678	36.7393	28.7678	29.858	21.6018	27.3932	17.1166	10.0791	20.3742	5.41959	10.6553
STK39	24.2949	25.6097	15.9261	18.8651	15.9261	24.2949	24.7368	28.9186	15.0985	9.70465	25.2201	35.0814	26.6191
STMN2	33.5527	35.1053	53.7039	43.776	53.7039	33.5527	22.7537	56.6528	109.633	4.20459	70.5573	52.3164	48.304
STON1	8.02919	8.16311	6.98863	5.68326	6.98863	8.02919	17.9719	18.3648	7.70267	2.90523	14.4366	1.36482	5.88142
STON1-GTF2A1L	1.49382	1.52829	1.58065	1.65654	1.58065	1.49382	1.88364	1.8365	2.67232	1.08894	1.40585	1.82546	1.00062
STRADB	16.002	16.6356	12.9433	15.3792	12.9433	16.002	15.2959	18.3124	7.55385	23.8681	14.2843	32.0622	15.1885
STS	2.47802	2.29912	2.94973	3.28756	2.94973	2.47802	2.3809	2.58775	5.80303	3.86771	2.93942	2.36147	4.51678
STX16	48.3253	48.1872	35.1455	34.7089	35.1455	48.3253	25.7653	26.4036	23.9332	31.6363	23.3252	17.3291	23.372
STX16-NPEPL1	3.16241	3.77224	5.21213	3.56718	5.21213	3.16241	1.68237	1.56168	1.31917	1.90656	1.89125	1	1.28974
STX7	18.1989	19.3144	24.1872	28.6303	24.1872	18.1989	25.8637	29.5326	21.9118	33.2994	26.8359	52.7192	18.9259
STXBP5L	3.52862	3.5472	2.04009	2.33705	2.04009	3.52862	1.68653	1.72053	1.36013	1.31024	1.81358	1.13099	1.17245
STXBP6	5.11386	5.29952	1.21455	1.13351	1.21455	5.11386	11.1404	9.98562	4.9937	9.27022	9.53679	6.50223	10.1783
STYK1	1.6264	1.60491	2.30267	1.83859	2.30267	1.6264	1.05587	1.03583	4.82209	1.77227	1.12616	3.58627	5.69203
STYX	21.4485	22.6387	18.5788	23.0554	18.5788	21.4485	15.7878	19.3538	5.94771	6.58634	14.8366	6.41462	5.32278
SUCLG1	34.8351	28.8143	48.977	72.1053	48.977	34.8351	44.8464	55.2359	86.4395	118.266	48.7263	515.075	103.22
SUCO	28.2857	31.3118	47.1072	60.9887	47.1072	28.2857	25.6732	33.0689	16.0673	21.297	26.079	16.7699	10.6353
SULT1C2	1.80126	1.67096	1.33869	1.39144	1.33869	1.80126	4.00909	4.24237	28.7986	76.7261	2.96628	2.39333	3.03858
SULT1C2P1	1	1	1	1	1	1	1	1.02994	2.55982	5.75461	1	1	1
SULT1C3	1	1	1	1	1	1	1	1	1.91488	2.27906	1	4.42096	1
SULT2B1	1.05484	1	1.25174	1	1.25174	1.05484	1	1.05019	1.65346	2.34549	1.05891	48.422	8.15438
SUPT20H	41.8822	41.4889	42.5092	45.4077	42.5092	41.8822	38.7672	43.5721	20.2389	21.4113	36.3495	14.4828	5.93688
SUSD4	1.96848	1.59805	1.44427	1.66626	1.44427	1.96848	5.76507	4.89382	1.75268	1.77393	4.75819	1.85228	1.48631
SYCN	1	1	1	1	1	1	1	1	1	1	1	1	1
SYCP2L	5.83763	6.64831	5.35049	5.77438	5.35049	5.83763	3.78989	4.4534	1.25056	1.07368	3.9895	1	1
SYT10	1.93951	2.07603	10.3154	9.42949	10.3154	1.93951	1.9107	2.39536	2.53252	1.05594	2.02825	1	1.34254
SYT16	1.70783	1.86344	1.21372	1.1064	1.21372	1.70783	1.17721	1.11935	1.26376	1	1.14006	1	1.036
SYT8	1	1	1	1	1	1	1	1	1.48169	1.8627	1	32.2896	2.41269
SYT9	2.80462	2.52589	1.36736	1.33252	1.36736	2.80462	1.18	1.25309	2.47523	1.01148	1.59406	1	1.98365
SYTL2	5.43466	5.87674	1.79299	2.68735	1.79299	5.43466	2.27926	2.44287	30.5447	18.7661	2.89568	12.2747	7.98268
SYTL5	1.48547	1.53441	1.52677	1.75913	1.52677	1.48547	12.6199	10.5434	4.1881	2.39037	11.7047	5.27054	1.79654
TAAR8	1	1.07309	1	1	1	1	1	1	1	1	1	1	1
TAAR9	1	1	1	1	1	1	1	1	1	1	1	1	1
TACC2	19.6056	17.7082	6.5946	5.62334	6.5946	19.6056	9.51894	8.52107	23.1231	29.0865	11.3953	29.652	10.9589
TACR2	1.09879	1.32711	1.05668	1.07054	1.05668	1.09879	1.0235	1	11.5272	1.29244	1	1.5444	4.44104
TAF1A	7.15894	7.05614	7.11315	9.78557	7.11315	7.15894	22.4268	28.3201	4.55532	5.08418	18.4106	1.75778	2.15998
TAF1A-AS1	2.78863	2.75648	2.63541	3.31547	2.63541	2.78863	4.88726	4.25243	2.65565	2.28766	4.23979	6.11683	1.74909
TAF1D	57.163	59.1175	57.9093	76.5498	57.9093	57.163	71.1476	72.5978	34.5175	38.9799	64.0331	19.5791	15.6833
TANGO6	7.844	7.40343	3.66285	3.90831	3.66285	7.844	7.0719	7.45937	2.95057	2.74605	5.85874	2.82251	5.09079
TANK	19.6596	23.3055	19.5954	22.3807	19.5954	19.6596	22.5262	28.2235	20.8254	22.3146	24.7856	32.4534	18.6699
TAPT1-AS1	9.32142	8.05164	12.2947	4.0672	12.2947	9.32142	15.7617	6.3486	19.8006	23.6984	15.21	2.05061	3.62861
TAS1R2	1	1	1	1	1	1	1	1	1	1	1	1	1
TAS2R30	1.14453	1.07976	1.08295	1	1.08295	1.14453	1	1	1.05379	1.05727	1	1	1
TAS2R4	2.17743	2.21285	2.17084	3.01765	2.17084	2.17743	1.07468	1.43108	2.51866	2.18234	1	1	1.30707
TAS2R43	1.3983	1.07326	1	1.09479	1	1.3983	1	1	1.3953	1.31545	1	1	1
TAS2R46	1.07526	1.1661	1	1	1	1.07526	1	1	1.112	1	1.08083	1	1
TAS2R5	3.0213	3.03962	2.32527	2.31951	2.32527	3.0213	1.93404	1.7929	4.61175	4.33666	1.99257	2.28092	1.22498
TAX1BP3	23.2843	25.0406	24.6351	17.8673	24.6351	23.2843	14.6166	12.3008	60.9241	62.2949	16.3746	361.259	99.8772
TBC1D1	28.549	28.9529	20.9762	20.9752	20.9762	28.549	19.986	22.2667	19.5648	25.404	18.67	15.0191	16.6999
TBC1D22A	3.39182	3.36036	4.88692	4.03919	4.88692	3.39182	4.64383	3.53238	7.8	10.9068	4.08972	23.0806	13.6417
TBC1D22B	12.5366	12.9372	10.716	11.9435	10.716	12.5366	9.72668	10.5461	4.71716	3.97852	10.2403	13.9172	6.72664
TBC1D23	14.0702	14.9061	14.5524	18.8071	14.5524	14.0702	13.4152	15.0873	15.1957	17.4701	13.4235	27.4397	10.7477
TBC1D28	1	1	1	1	1	1	1	1	1	1	1.03308	1	1
TBC1D3	1	1	1	1	1	1	1	1	1	1	1	1	1
TBC1D3C	1.00003	1.00002	1	1	1	1.00003	1.00005	1.00008	1	1	1.00003	1	1.00002
TBC1D3F	1	1	1	1	1	1	1	1	1	1	1	1	1
TBC1D3H	1	1	1	1	1	1	1	1	1	1	1	1	1
TBC1D9	2.08605	2.36986	19.0865	19.463	19.0865	2.08605	5.75294	6.48153	11.455	14.5134	6.46645	6.0021	9.04283
TBC1D9B	7.72071	7.44721	14.7015	9.38447	14.7015	7.72071	9.10888	6.45509	26.7774	26.8786	8.82481	24.4845	37.2246
TBCE	42.6747	41.8674	24.2424	29.4752	24.2424	42.6747	36.7106	41.9962	8.43769	8.10057	33.8955	11.1723	3.52719
TBR1	1	1	1.46247	1.54942	1.46247	1	1.03486	1.08385	1	1	1.0984	1	1
TBX15	3.53993	3.60168	1.70476	1.90084	1.70476	3.53993	1.2527	1.19753	1.09898	1.05238	1.26749	1.36535	1.03207
TBX20	1	1.05153	1.54173	1.77054	1.54173	1	1	1	1.03477	1.07385	1	1	1
TBX22	1.6414	1.35398	1.52533	1.8397	1.52533	1.6414	1.30514	1.4064	1.07966	1.0422	1.28711	1	1
TCEAL1	9.00693	8.82445	4.21625	5.80698	4.21625	9.00693	10.1666	9.33106	14.8487	16.9574	11.6596	27.9146	33.9829
TCEAL2	34.2548	32.8622	10.0848	8.65377	10.0848	34.2548	19.4265	21.6823	6.62242	1.33752	21.6087	1	5.74845
TCEANC	2.34165	2.72177	2.53939	2.11389	2.53939	2.34165	2.06863	2.57071	2.65044	1.91175	2.20657	2.37714	2.0277
TCEANC2	6.20653	6.37451	4.26874	3.82569	4.26874	6.20653	6.26048	6.97296	3.70918	3.40184	5.74858	3.16094	4.65822
TCP11L1	8.51238	9.31558	23.5321	19.083	23.5321	8.51238	16.8349	16.1314	8.11453	5.7559	15.3995	9.74994	4.69779
TCTEX1D2	18.6933	19.6155	20.5184	24.1582	20.5184	18.6933	37.3286	48.1623	7.32718	6.46546	41.8942	11.3162	2.68867
TDG	26.8251	25.7534	23.6204	36.8262	23.6204	26.8251	18.1491	22.5815	6.1834	8.784	16.5982	7.32991	9.64742
TDP1	28.7223	27.7706	17.0195	16.6949	17.0195	28.7223	21.7982	24.8923	5.78154	6.75873	20.489	2.4486	4.78126
TDRD12	1.34798	1.04267	1	1	1	1.34798	1	1	1.25921	1	1	1	1
TDRD7	3.30327	3.50813	61.4482	75.6622	61.4482	3.30327	2.49007	2.54599	11.4718	12.7848	2.33603	19.2442	11.9731
TECTB	1	1	1	1	1	1	1	1	1.01574	1.06666	1	1	1.04084
TEK	17.3051	17.0901	8.15253	10.2951	8.15253	17.3051	8.34081	10.0447	7.82942	5.34111	8.81297	1.29144	7.28046
TES	19.7232	19.8739	28.3841	37.0168	28.3841	19.7232	36.5693	33.8738	46.0437	27.6192	34.4818	76.8458	35.9162
TESC	4.48236	4.24794	8.84525	4.54183	8.84525	4.48236	1.14162	1.12254	2.00138	2.22117	1.31981	8.44702	3.47295
TET1	18.3162	20.4583	16.3373	17.8178	16.3373	18.3162	21.9793	22.9269	3.30138	3.05206	18.2431	1.12793	1.38176
TEX101	1.05697	1.12575	1.58841	1.65081	1.58841	1.05697	1	1	1	1	1	3.52674	1
TEX21P	3.01382	3.07917	1.74536	2.02043	1.74536	3.01382	1.61803	1.59459	2.11219	1.36011	1.90715	1	1.12672
TEX36	1	1	1	1	1	1	1	1	1	1	1	1	1
TEX38	1	1.09205	1.1914	1.35732	1.1914	1	1	1	1.06206	1.19845	1	1	1.16331
TFAP2A	1.03709	1.02046	1.08511	1.13241	1.08511	1.03709	1.43548	1.64544	1.81536	1.24873	2.9916	1	1.2507
TFAP2A-AS1	1	1	1	1	1	1	1	1	1	1.07857	1.18455	1	1.09659
TFCP2L1	1.73992	1.8299	1.34511	1.24912	1.34511	1.73992	1.04006	1.03304	3.89261	1.28449	1.01939	1.13213	1.44069
