Genes	AS1	AS2	AS3	D41	D42	D43	DE2	DE3	ES1	ES2	ES3	F1	F2
SLC14A2	1	1	1	1	1	1	1	1	1	1	1	1	3.1565
SLC22A20	1	1.10843	1	1	1	1	1	1	1.21819	1	1	1	1
SLC22A9	1	1	1	1	1	1	1	1	1	1	1	1	1
SLC24A1	2.17291	1.29494	3.01125	2.11056	2.20527	2.33142	2.6266	2.2758	1.68177	2.03066	1.98429	2.97904	2.96506
SLC25A53	1.27707	1	1	1.9434	1	1.21277	1.94395	2.093	1.14349	1.44232	1.26994	1	1
SLC26A2	10.0806	3.04966	5.56766	9.48451	9.75359	11.1117	8.94061	7.73319	6.44831	6.59581	6.04493	165.958	78.6887
SLC27A6	1	1	1.72446	5.21999	1.33585	1.0366	5.56287	4.75762	5.59447	5.72437	4.40982	1	1
SLC2A11	2.68119	5.82728	2.24711	1.71409	2.11546	1.69277	1.90285	1.96424	3.66752	3.08007	2.91659	4.03692	4.12776
SLC35A1	17.9365	12.6608	13.6124	10.7363	20.0957	22.8	10.2874	8.43419	10.8616	12.0401	10.9087	29.9456	22.3362
SLC35D1	4.99999	5.37351	7.59702	3.84704	4.00465	4.74801	3.60406	3.15633	1.98239	2.4963	2.04937	19.4065	26.4581
SLC36A4	14.6111	1	1.39438	28.6637	17.1204	18.0061	25.3435	20.6475	12.8094	14.4319	12.4065	2.98099	1.10193
SLC38A6	5.37945	1	1	3.78099	3.94426	5.29993	4.88975	3.69767	4.528	5.82716	5.71986	2.90149	6.97094
SLC38A7	6.05367	1	4.56462	9.75859	6.51485	4.24339	10.6898	16.3729	8.8681	9.01281	8.2622	6.45016	9.63309
SLC4A10	1	1	1	1	1	1	1	1	1	1	1	1	1
SLC7A5P2	1	1	1.54093	1	1	1	1	1	1	1	1	1	1
SLC7A6	12.6614	3.41623	8.8444	35.9547	12.4273	14.5749	37.0944	31.5902	15.9023	16.1266	15.5311	6.93426	5.31554
SLFN5	4.20038	5.13766	7.16806	16.5515	4.32851	4.47949	18.4727	15.1247	3.33236	3.70493	3.01388	3.20799	1.97816
SLIRP	255.167	402.012	31.4298	348.507	220.79	287.4	351.083	246.529	548.31	506.518	547.312	37.865	58.4639
SLMAP	12.8481	23.6548	13.7591	17.5484	12.8957	15.2058	17.4317	14.1102	18.8678	21.1525	18.9443	29.9526	15.1555
SMARCA1	84.0374	2.55112	3.91862	78.4036	93.9804	112.925	70.4361	58.4087	61.8883	64.5996	62.0788	20.9368	17.4446
SMC2	31.3805	1.0399	7.08357	28.1526	32.5361	43.835	28.9708	21.3232	28.7316	31.7056	28.7779	10.0423	8.3734
SMCO3	1	1	1	1	1	1	1	1	1	1	1	1	1
SMEK2	27.8016	26.8211	21.5995	32.5585	28.6627	34.6943	30.7176	26.1454	19.1288	20.019	19.6528	21.6677	29.9944
SMG1	11.3037	7.10826	8.05742	25.8727	11.0371	13.3141	29.1686	22.8319	23.1541	25.6493	21.0225	16.4332	17.1196
SMG1P5	1	1	1	1	1	1	1	1	1	1	1	1	1
SMIM3	14.7956	21.4873	21.2962	2.35397	19.2535	18.6876	2.52731	2.97241	31.2411	28.4498	30.9652	10.1104	5.10258
SMIM9	1	1	1	1	1	1	1	1	1	1	1	1	1
SMOC1	16.6519	1.03263	1	1	18.4986	18.7139	1	1	1.00116	1.07048	1	1.17775	1
SNAPC1	13.9775	1	2.58561	15.0864	16.5555	18.7828	12.2498	10.7118	10.7841	11.5577	11.9099	2.45737	2.40909
SNHG12	15.686	61.6724	16.2562	13.3287	11.5611	18.413	14.4365	10.0764	26.244	24.7944	27.2476	15.5679	24.1703
SNW1	70.2952	49.5572	20.2668	54.6956	73.8123	93.0353	53.7713	41.5728	60.4067	58.6332	63.3785	24.2202	25.6451
SOCS2	11.8912	5.16482	7.4492	51.2594	10.0352	12.0566	46.1367	36.893	15.1681	13.4831	14.6719	9.69372	10.6322
SOCS2-AS1	1.42747	1	1	5.72183	2.24776	1.35164	8.64523	6.60739	1.77185	2.44439	2.30999	2.96129	1
SORL1	7.69482	4.67921	3.71584	17.3718	10.7633	8.8784	17.4305	16.5024	27.1367	29.1658	24.816	31.9333	29.8079
SOX6	1.36462	4.98807	2.49136	1	1	1.08544	1	1	1	1	1	6.7857	14.7661
SPACA1	1	1	1	1	1	1	1	1	1	1	1	1	1
SPACA3	1	1	1	1	1	1	1	1	1	1	1	1	2.11448
SPAM1	1	1	1	1	1	1	1	1	1	1	1	1	1
SPATA16	1	1	1	1	1	1	1	1	1	1	1	1	1
SPECC1L	19.3766	9.8821	12.5783	14.5494	18.5183	19.9051	16.1546	13.6735	14.1864	13.8332	13.7752	17.9681	11.6702
SPECC1L-ADORA2A	1	1	1	1	1	1	1	1.13502	1.5395	2.16001	1.51287	1	1
SPG21	72.9235	65.0724	44.2412	56.211	77.9479	85.8423	61.1409	52.2455	61.6206	59.7547	58.4619	37.9158	80.1916
SPOCK2	1.72873	1.64043	22.629	1	1.01419	1	1	1	1	1	1	7.51396	1.98367
SPRR2B	1	1	1	1	1	1	1	1	1	1	1	1	1
SPTY2D1-AS1	1.14993	1	1	1	1	1	1.7346	1.0668	1.38086	1.32861	1.50983	1	1
SRSF4	62.9503	62.1117	56.7986	58.2974	68.4686	66.9467	55.1418	56.1098	65.0387	63.7962	63.6325	46.2422	53.1882
SSFA2	31.2184	27.1468	35.3419	7.95132	30.6476	31.4771	8.99775	8.10567	4.05174	3.88766	3.40903	47.4823	41.1593
ST6GAL2	19.0986	1	1	7.59962	21.0912	22.2586	7.89297	7.17034	5.96619	6.17348	6.09476	3.57593	1
ST7	10.3646	6.04118	6.25457	2.98204	6.20914	7.79586	4.04195	3.13959	11.2794	10.3679	10.3179	8.63225	13.2185
STEAP4	1	1	8.11929	1	1	1	1	1	1	1	1	1	1
STK33	11.9045	1.30091	1.19889	13.0306	11.5517	13.3536	13.0874	7.94426	15.5009	15.1561	16.8289	2.63015	1.9309
STK39	24.2201	34.0814	25.6191	19.3082	23.7368	27.9186	17.8651	14.9261	23.2949	24.6097	25.4282	14.0985	8.70465
STON1	13.4366	1	4.88142	5.99308	16.9719	17.3648	4.68326	5.98863	7.02919	7.16311	5.97133	6.70267	1.90523
STON1-GTF2A1L	1	1	1	1	1	1	1	1	1	1	1	1.67232	1
STS	1.93942	1.36147	3.51678	2.07573	1.3809	1.58775	2.28756	1.94973	1.47802	1.29912	1.55385	4.80303	2.86771
STXBP5L	1	1	1	1.27708	1	1	1.33705	1.04009	2.52862	2.5472	1.94894	1	1
STXBP6	8.53679	5.50223	9.17832	1	10.1404	8.98562	1	1	4.11386	4.29952	3.87351	3.9937	8.27022
STYK1	1	2.58627	4.69203	1	1	1	1	1.30267	1	1	1	3.82209	1
SUCO	25.079	15.7699	9.63529	64.3906	24.6732	32.0689	59.9887	46.1072	27.2857	30.3118	28.1705	15.0673	20.297
SULT1C2P1	1	1	1	1	1	1	1	1	1	1	1	1.55982	4.75461
SULT2B1	1	47.422	7.15438	1	1	1	1	1	1	1	1	1	1.34549
SYT16	1	1	1	1	1	1	1	1	1	1	1	1	1
SYTL2	1.89568	11.2747	6.98268	1.06648	1.27926	1.44287	1.68735	1	4.43466	4.87674	4.62962	29.5447	17.7661
SYTL5	10.7047	4.27054	1	1	11.6199	9.54336	1	1	1	1	1	3.1881	1.39037
TAAR9	1	1	1	1	1	1	1	1	1	1	1	1	1
TAF1A	17.4106	1	1.15998	6.56211	21.4268	27.3201	8.78557	6.11315	6.15894	6.05614	6.15911	3.55532	4.08418
TAF1A-AS1	3.23979	5.11683	1	4.38037	3.88726	3.25243	2.31547	1.63541	1.78863	1.75648	2.03613	1.65565	1.28766
TAF1D	63.0331	18.5791	14.6833	90.5859	70.1476	71.5978	75.5498	56.9093	56.163	58.1175	63.0549	33.5175	37.9799
TAPT1-AS1	14.21	1.05061	2.62861	3.69459	14.7617	5.3486	3.0672	11.2947	8.32142	7.05164	9.71559	18.8006	22.6984
TAS2R30	1	1	1	1	1	1	1	1	1	1	1	1	1
TAS2R46	1	1	1	1	1	1	1	1	1	1	1	1	1
TAS2R5	1	1.28092	1	1.41337	1	1	1.31951	1.32527	2.0213	2.03962	1.00389	3.61175	3.33666
TAX1BP3	15.3746	360.259	98.8772	16.5518	13.6166	11.3008	16.8673	23.6351	22.2843	24.0406	23.2202	59.9241	61.2949
TBC1D22A	3.08972	22.0806	12.6417	1.71458	3.64383	2.53238	3.03919	3.88692	2.39182	2.36036	2.3818	6.8	9.90675
TBC1D23	12.4235	26.4397	9.74768	17.5514	12.4152	14.0873	17.8071	13.5524	13.0702	13.9061	12.9914	14.1957	16.4701
TBC1D3H	1	1	1	1	1	1	1	1	1	1	1	1	1
TBC1D9B	7.82481	23.4845	36.2246	7.5794	8.10888	5.45509	8.38447	13.7015	6.72071	6.44721	6.95768	25.7774	25.8786
