Gene     RPKM           
TP63                0.0168023

TPP2                6.8551

MIR2052             0

GCNT4               8.94984

WDR83               9.74753

JDP2                17.3175

ANP32C              7.93692

ACOT13              8.39058

GRAMD1A             4.61913

SLBP                26.9787

GYS2                0

KIAA1456            0.782151

ADGB                0.0803274

LINC00460           0

LOC339862           0

LDHD                22.4277

CSNK1A1L            1.43172

SNAR-A7             0

MIR3146             0

R3HDM1              4.74264

TMEM164             19.8753

SKP1P2              9.98907

KCNG4               0

SLC2A1              3.07648

ACTR2               94.5858

WBSCR27             0.205386

ASCC3               6.10746

LCN9                0

HMGA2               0.918469

HIST1H2AL           7.48323

NDRG1               254.324

MYO15A              0.0602151

FABP9               0

CITED4              1.29666

FDFT1               68.1539

CDRT15L2            0

LPCAT2              2.9028

TRIML2              0

TPMT                63.3729

MIR764              0

ANKUB1              0

FAM184A             1.95417

WDR38               0.0354056

MOCS1               17.4788

SERF1A              0

PATZ1               8.82534

MIR4288             0

MYO3B               0.0688859

CCDC90B             27.54

REM2                0.989209

LOC550113           0

MANEA               2.64986

EIF3M               114.924

OR10A5              0

EIF4G3              12.4847

ZNF280D             9.77663

MIR548H2            0

POU6F2              0

SPP1                3.72209

EDARADD             16.7177

CD28                0.230657

KLRC3               0.829631

FAM91A1             18.143

DST                 10.6193

PTPRD               3.25981

MIR4773-2           0

MIR4279             0

IDH1                202.18

NOX4                0.0272597

DMP1                0

TMEM222             28.6367

OR2F2               0

C6orf226            25.328

MIR4699             0

ZNF474              0.0210781

CADM2               0.170295

LOC653513           0.733733

TXNIP               210.543

MIR3668             0

MALL                2.25906

CD36                28.2053

ATXN7               5.26152

MIR125B2            0

PREX1               3.61431

ACAP2               10.1086

APLF                0.416873

MRPL48              46.6448

CEP19               0.339811

RUFY3               11.9985

MIR34C              0

SNORD71             0

A2MP1               0.413113

GPM6A               1.43407

ZMIZ2               20.7107

VNN2                0.758105

LOC100506274        0

TPI1P3              0.110256

SIPA1L1             13.1862

C22orf31            0.0429407

HIST1H2BI           5.12378

TEX15               0.00742066

AGTR2               0

AVIL                6.76511

DKK1                0.323301

BIN2                2.34539

SLC36A3             0

BFSP1               0.139082

PRKG2               10.8659

KLHDC10             9.67153

IPO7                25.0362

KCP                 2.21675

MS4A3               0

OR5H15              0

CNTN1               0.378989

CUX1                21.2148

TMEM27              0.48748

