Gene	Sample	RPKM
CSMD3	Adult-SI	0.0361031

OR6C76	Endo	0

NAPB	ESC	8.77066

TAS2R14	Adult-SI	0.298077

TRIM55	Adult-SI	0.180312

NIPSNAP3B	ESC	0.401993

SMAD2	D4CF	12.8525

IER3IP1	Endo	21.4471

NIPSNAP3B	Fetal-SI	1.48125

AURKC	ESC	2.67563

AKAP5	ESC	1.89454

GLE1	Fetal-SI	14.8779

CAB39L	Adult-SI	2.35635

GREB1	Endo	20.9014

IL20RA	Endo	0.108694

MIR548AC	Adult-SI	0

FAM26D	Endo	0.269143

TAS2R30	ESC	0.0876123

ITGB5	Endo	171.631

MIR4491	Endo	0

PBLD	Fetal-SI	78.7163

EDNRB	Adult-SI	3.38225

MTPN	Endo	79.4137

TXNIP	D4CF	119.548

FAM175B	D4CF	15.5057

FAR2	ESC	18.476

TFEC	D4CF	0.00819616

OR51F2	ESC	0

TECR	Adult-SI	18.2939

LOC100132735	Adult-SI	0

MOGS	Endo	20.3907

CDKN3	Adult-SI	12.9038

GPR89A	ESC	1.07054

MIR3198-1	ESC	0

HKR1	ESC	14.1306

OR5P2	Endo	1.7478

PPTC7	Fetal-SI	9.75828

MIR363	D4CF	119.011

MIR548F2	Adult-SI	0

OR6S1	Endo	0.523536

ART3	Fetal-SI	0.221814

DKK1	Fetal-SI	0.379392

MIR3943	D4CF	0

MIR2052	ESC	0

WFDC8	Endo	0.0241284

FSHR	Endo	0.231779

LOC100130093	Fetal-SI	2.08971

RAB23	Adult-SI	2.79125

ARHGAP28	D4CF	10.7723

ZFAND6	D4CF	66.98

ILDR1	D4CF	0.00798868

CDKL4	Fetal-SI	0.0874654

CD28	D4CF	0

HCAR1	ESC	0.0357639

TAAR6	D4CF	0

MIR205HG	ESC	9.60822

CDX2	Adult-SI	99.6803

KIF5C	ESC	31.5845

HTR1F	D4CF	2.28615

IL20RA	Adult-SI	1.7928

TAS2R5	Adult-SI	0.514162

OSBPL9	Fetal-SI	21.1044

HAP1	Fetal-SI	0.23891

NKX1-2	D4CF	0.982214

LDHD	Adult-SI	22.4277

DR1	Fetal-SI	20.8525

KIF5C	D4CF	25.0792

FLJ46066	ESC	0

LCN9	ESC	5.28573

HSD17B4	Adult-SI	119.524

CABIN1	Fetal-SI	12.9386

LIN28A	Endo	430.924

STOML3	D4CF	0

CCDC129	Endo	0.52589

LINC00486	Endo	0.0180552

GPM6A	Endo	21.0125

DPRX	ESC	0.0352841

TMEM169	ESC	1.25232

OR5M9	D4CF	0

C8B	D4CF	0

CSPP1	Adult-SI	6.14752

HMGA2	Adult-SI	0.918469

PDK3	Adult-SI	7.21958

PPIAL4B	ESC	0

GPR39	D4CF	0.40138

KIAA1456	D4CF	1.44383

IGSF11-AS1	ESC	0

EIF3M	Fetal-SI	84.3816

TRIM55	D4CF	0.073953

ANKRD6	Endo	30.2479

TMEM222	Endo	7.24099

CAPS	Adult-SI	16.2849

SFN	D4CF	2.29586

PIK3C2G	Fetal-SI	1.6441

MIR331	ESC	0

C4orf45	ESC	0

CDK14	ESC	18.8741

RBMS3	Endo	0.364978

DMP1	ESC	0.219398

ANTXR1	Endo	22.6759

SIPA1L1	ESC	23.2713

TRHR	Endo	0.19464

KDM1B	Fetal-SI	4.4895

LALBA	ESC	0

SERPINA12	D4CF	0

ANP32C	Adult-SI	7.93692

MANEA	Adult-SI	2.64986

ACAP2	D4CF	18.7381

