Gene     RPKM    
SIPA1L1             13.1862

MIR449A             0

MIR548F2            0

RNASE9              0

VWA2                0.64538

CD4                 4.3959

KCNK5               43.5001

RASSF8              1.69986

SLC38A9             3.9331

OR13C9              0

RPSAP52             0

SNAR-B2             0

TAB2                23.8169

ACTL9               0

SNAPC1              1.97785

CTAGE4              0

HAP1                0.364736

RAB14               42.9955

PRKG2               10.8659

CMPK1               215.99

FAM184A             1.95417

LOC100128554        0

MPZL1               21.1218

MEX3A               0.453649

GLT8D2              1.60785

PPIAL4B             0

FMO1                0.115286

CLLU1OS             0

HCAR1               0.0797671

CCDC85A             0.879643

TMEM164             19.8753

SNPH                1.93623

SPP1                3.72209

DIRAS3              1.39601

WDFY2               1.67498

DEFB110             0

DAD1                204.041

CCNJ                3.19013

DEFB105A            0

OR6K3               0

CADM2               0.170295

NOX1                0.381284

FAM180A             0.557868

TAAR6               0

GGH                 3.97517

ATXN3               3.05728

SEMA3A              0.749384

SCARNA10            0

DEFB132             0.0192748

OR2D2               0

CEP19               0.339811

ITLN1               58.8995

MIR19B2             0

CDX2                99.6803

DLC1                4.68477

OR6S1               0.521443

ZNF624              0.732184

SNORD71             0

MIR548AC            0

SEC22B              59.6203

OTOGL               0.00466713

KIAA1462            2.25975

MYL10               0

LOC339166           0

MIR4737             0

PEBP1               1568.36

WDR83OS             153.972

DNAH5               0.00239103

NAP1L5              3.36854

ROBO2               0.301231

MUC7                0

SLC24A1             1.66762

SNAR-A14            0

DKK1                0.323301

HERC4               23.1938

KCNN2               0.0886875

NR2C1               4.06242

OR10A5              0

SALL2               0.868558

CDK14               1.4058

PPP1R3D             4.35151

HLA-DRB6            0

OR10Z1              0

SPG20               7.20283

ANP32C              7.93692

PDE4B               3.1504

HPD                 0.121577

R3HDM1              4.74264

RIOK1               7.85542

FDXR                8.85363

CYP4A22             0

NBPF1               2.45156

OLFM3               0.463663

PTP4A2              87.0524

STOML3              0

GC                  1.52494

PLAC4               0.17247

PLA2G6              10.4179

SDC4P               0

GYS2                0

LOC100129345        0

SNORD70             0

MAP2K6              4.08561

HKDC1               73.8889

MIR106A              0                            

USHBP1              1.24118

TMPRSS11GP          0

SNAR-D              0

MSTN                0.0987079

ZCCHC13             0.646274

CYTIP               11.6855

PARP15              0.236141

AKAP6               0.621899

SVOPL               0

LOC100505912        0

SOX5                0.411053

KCNG4               0

TMEM160             23.5213

E2F5                4.80365

CCKAR               0.0750867

CDKN3               12.9038

LOC283038           0.106981

C9orf170            0.0114965

ITGB1               29.8445

TMSB4X              2723.33

MIR4279             0

ANKUB1              0

DSG1                0.0140396

LDHD                22.4277

MIR1233-1           0

OR13C3              0

CLOCK               2.81322

GNRHR               0.0200489

MIR26A2             0

MOGS                53.29

MIR1972-2           0

ZBTB38              11.1933

DNMT3B              0.221661

TTLL9               0

SULT1B1             50.9771

SPAG11B             0

HIST3H3             0

ADSS                21.8306

WNT5B               1.75656

RBBP9               6.59391

MIR3911             249.634

OR5P2               0

PLXNB1              21.8841

CLCA3P              0

PADI4               0.0179115

C8orf46             0.158178

ZMIZ2               20.7107

TCN2                13.478

MIR4782             0

HIF1A               23.0848

DCDC2               0.141871

TMEM169             1.0346

EIF3M               114.924

CPB2                0

MANEA               2.64986

MIR34C              0

LOC550113           0

PTPRQ               0

HAUS6               2.40381

SETD5               10.6008

MIR1244-2           0

POSTN               9.42082

ILDR1               1.72465

DDX43               0.0296003

MIR20B              0

MIR2052             0

AVIL                6.76511

HSDL2               34.5433

MAP2                0.662622

PKP2                17.6836

SCG5                3.79175

OR10X1              0

MIR320D1            0

VWDE                0

TPI1P3              0.110256

TPMT                63.3729

MIR572              0

PLSCR2              0.0367147

BFSP1               0.139082

BAMBI               0.683655

LINC00320           0

RGS12               5.54489

FLJ46066            0.256096

GLE1                19.7234

COLEC11             1.59102

FAM101B             7.08689

SHROOM3             19.9134

PPTC7               8.61628

SNAR-A6             0

CD19                0.316392

HDAC11              13.1794

SCGB3A2             0.121124

ATF7IP2             2.71891

CORO2B              1.49743

LOC339862           0

LRRC37A2            0.506839

MIR30E              0

LOC100130093        0.855823

OR6K6               0

ZNF385B             0.015272

ZNF280B             0.099911

MAOA                224.751

MIR4276             0

DEFB133             0

DCAF17              3.79538

OR5H15              0

XIRP2               2.44969

OR5T3               0

LINC00460           0

PLK2                7.29885

PPIP5K2             7.11252

PTPRD               3.25981

TRIM55              0.180312

APLNR               1.38926

EVI5                4.72441

LALBA               0

SNAR-A8             0

MGAT4C              0.0854405

NUCB2               11.5377

SFN                 107.466

SCYL1               34.7484

RBMS3               1.97193

ARHGAP28            1.39349

SGK494              0.871047

FAM110B             0.461532

ABL2                2.93186

DMP1                0

UQCRH               748.41

AKAP10              7.04441

TMEM126A            37.7948

CASP7               91.3156

SNAR-B1             0

DLEU2L              0.0763884

MAN2B1              19.7763

SCMH1               20.4266

AARSD1              12.4511

TUBA1C              269.487

