Genes	AS1	D4CF1	ES1	FS1	AS1	D4CF2	ES2	FS2	AS3	D4CF3	DE3	ES3
SLCO3A1	1.71132	2.54285	5.56769	4.03988	1.49008	1.45422	2.40285	5.46004	1.91672	3.96955	1.55269	3.10479
SLCO4A1	1.18254	1.12996	2.65685	1.36408	2.40368	1.34355	1.03033	2.77931	1.10058	14.6716	1.31108	1.17058
SLCO4C1	2.24743	2.67306	4.08965	6.65447	1	2.34808	2.3084	4.8097	13.5251	1.61674	2.63826	2.24687
SLCO5A1	1.47532	1.48595	1.557	1.11416	1.3746	1.35637	1.55904	1.84883	1.02685	1.3946	1.42485	1.62492
SLCO6A1	1.2834	1.7174	1.35929	1	1	1.2713	1.37328	1.4877	1	1	1.45216	1.54105
SLED1	1	1	1	1	1	1	1	1.11043	1	1.19657	1	1
SLFN11	1.40388	1.06971	1.1823	3.04476	3.00408	1.09755	1.03253	1.17604	1.97034	3.13292	1.27543	1.01307
SLFN12	3.10573	5.27066	17.647	2.94952	2.55279	3.30053	5.85541	18.0573	2.21901	1.65451	3.49387	5.42967
SLFN12L	1	1	1	1.05208	1	1	1	1	1.24853	1.47443	1	1
SLFN13	3.06628	9.23699	13.7908	2.93667	1.29041	3.50925	7.78698	13.8619	1.39599	1.49705	3.08736	8.2356
SLFN14	1	1	1.0204	1.03041	1	1	1	1	1.0322	1.11833	1	1.02341
SLFN5	5.20038	17.5515	4.33236	4.20799	6.13766	5.32851	19.4727	4.70493	2.97816	8.16806	5.47949	16.1247
SLFNL1	1.00477	1	1.07226	1.27782	1	1	1.06823	1.07596	1.5334	1.33776	1	1.11058
SLFNL1-AS1	1.10077	1.29092	1.1391	1.36427	1	1.14851	1.22986	1.33701	1.58192	1.45055	1.07645	1.2716
SLIRP	256.167	349.507	549.31	38.865	403.012	221.79	352.083	507.518	59.4639	32.4298	288.4	247.529
SLIT1	2.45824	1.08652	1.08485	3.76929	1	1.48276	1.16155	1.08584	1.03901	1.36811	1.53067	1.18659
SLIT2	35.0906	4.81279	3.86849	8.13315	1.19466	44.8753	6.07372	3.74697	1.95693	2.28178	49.7807	5.09129
SLIT2-IT1	1.14782	1	1	1	1	1	1	1	1	1	1.12596	1
SLIT3	3.70934	1.28119	1.36193	8.42296	1.12615	4.08289	1.39379	1.3297	2.86118	3.97933	3.16134	1.59327
SLITRK1	3.10688	1	2.97314	1.52925	1	1.30931	1.05153	2.99087	1.08537	1.04643	1.22036	1
SLITRK2	6.74968	56.5654	1.9429	2.00484	1	2.1633	50.2449	1.74796	3.76841	1.22251	2.02497	47.8331
SLITRK3	2.05162	1.22185	2.12857	1.92227	1	1.28459	1.15534	2.26056	1.10724	1.07876	1.47293	1.14041
SLITRK4	2.87146	2.25561	3.73788	2.03157	1	3.17467	2.29075	3.81874	4.19981	1.0884	3.21218	2.34368
SLITRK5	11.0854	3.3377	2.8546	2.31518	1	12.2973	2.5265	2.94735	1.06094	1.04973	13.1891	3.33483
SLITRK6	2.37235	1.42025	1.45333	24.4275	1.60434	2.21546	1.62775	1.34871	19.0175	1.79572	2.15679	1.26795
SLK	32.0163	28.0613	19.4573	21.0159	12.7823	34.2339	25.5085	21.7835	20.4646	13.1372	39.9439	22.5141
SLMAP	13.8481	18.5484	19.8678	30.9526	24.6548	13.8957	18.4317	22.1525	16.1555	14.7591	16.2058	15.1102
SLMO1	1.5039	1.66249	5.50472	4.38903	1.79735	1.78857	2.75318	5.77281	2.79378	2.19027	1.8906	2.52992
SLMO2	19.5152	40.7485	32.3616	19.3678	127.563	19.1636	40.1339	33.2669	27.2628	64.0305	21.9275	28.4088
SLMO2-ATP5E	19.7153	35.7251	32.7179	8.68676	1	26.4622	37.9554	35.2999	6.8498	1	23.762	32.7628
SLN	1	1	1	1.54066	1	1	1	1.22926	3.31022	1	1	1
SLPI	1	1	1	15.8068	4.13977	1	1	1	27.8687	42.6739	1	1
SLTM	51.3765	64.021	111.04	23.4829	43.0273	46.9639	63.9903	106.698	20.9565	19.0367	56.9989	49.0213
SLU7	16.546	34.7983	18.0282	11.4709	30.0186	16.24	32.5695	18.1763	13.6363	10.0256	19.5362	24.8714
SLURP1	1	1	1	1	1	1	1	1	1	1	1	1
SLX1A	1	1	1	1	1	1	1	1	1	1	1	1
SLX1A-SULT1A3	1	1	1	1	1	1	1	1	1	1	1	1
SLX1B	1	1	1	1	1	1	1	1	1	1	1	1
SLX1B-SULT1A4	1	1	1.06653	1.1617	3.39277	1.02581	1	1.05987	1.96377	2.73303	1	1
SLX4	2.54852	3.24825	3.36666	3.28725	1.16938	2.73087	3.49893	3.12702	3.57664	3.73546	2.43943	4.32579
SLX4IP	3.68307	3.77857	3.95191	3.23227	2.00492	3.37633	2.75099	4.05742	4.15987	1.70593	4.36696	3.55326
SMA4	1	1	1.06728	1	1	1	1.04486	1	1.0781	1.1313	1	1
SMA5	1.03774	1.07165	1.07027	1	1	1.03343	1	1.1551	1.08327	1	1.03216	1.08062
SMAD1	20.3865	18.5073	15.3686	14.452	18.1056	21.1251	18.162	15.9557	20.6874	15.779	21.934	15.4226
SMAD1-AS2	1.06394	1.12133	1.05954	1.04426	1	1	1.33967	1	1.09411	1	1	1.13651
SMAD2	13.146	40.8324	12.6973	10.3948	8.98011	13.73	39.7416	13.5972	11.2481	7.6334	15.0226	32.9806
SMAD3	19.8792	3.49658	5.92056	13.3255	14.5209	17.4789	4.6698	5.72828	15.8976	11.6011	18.0456	3.85579
SMAD4	26.216	23.7474	23.4287	16.0471	13.4671	28.9878	23.8761	24.7612	15.1047	11.8074	31.6153	19.8782
SMAD5	30.081	36.5575	26.6848	18.2477	6.34803	32.6917	34.9334	28.3896	18.2515	11.1237	37.3634	30.2266
SMAD5-AS1	1.18284	1.06942	1.06808	1.17755	1.75161	1.12959	1.19445	1.15027	1.08077	1.13198	1.09347	1.19528
SMAD6	3.09088	18.143	1.44992	9.6379	1	3.85707	20.4208	1.58909	16.9641	27.7283	2.60444	18.1186
SMAD7	9.06652	36.0416	6.70308	18.8079	25.8031	10.1593	41.8346	5.89115	29.7596	20.5428	5.1159	39.9727
SMAD9	5.14775	2.73709	1.40571	10.6694	1.91033	4.42015	2.89239	1.51479	4.92606	4.53535	3.70071	2.21128
SMAGP	10.0728	13.3248	7.66723	29.1975	28.815	9.9536	15.715	5.98925	22.8441	45.4946	10.2892	13.7424
SMAP1	26.3695	34.7986	29.0695	20.9672	34.4554	24.37	36.0057	29.1064	19.5236	23.5283	25.986	31.391
SMAP2	17.1583	12.4586	5.18596	11.3678	36.2962	14.7224	14.9226	5.06548	12.9746	25.0436	15.2526	11.484
SMARCA1	85.0374	79.4036	62.8883	21.9368	3.55112	94.9804	71.4361	65.5996	18.4446	4.91862	113.925	59.4087
SMARCA2	4.64547	2.72205	9.33384	26.0838	23.3261	2.44577	2.35007	9.09461	20.5098	25.2073	3.72175	2.24051
SMARCA4	39.4218	29.0444	34.8171	24.1843	21.3523	40.7801	30.3387	34.3561	24.216	20.3268	25.6236	54.2164
SMARCA5	76.7784	94.3421	84.627	19.7015	18.2526	80.4995	86.261	90.7972	20.96	11.9548	101.893	69.9528
SMARCA5-AS1	1.06532	1	1.05996	1.09769	1	1.17518	1.08498	1	1	1	1	1
SMARCAD1	45.5174	76.5394	47.3159	13.7998	7.43917	46.1793	78.1296	50.3428	14.7303	9.64831	57.719	54.9045
SMARCAL1	11.5982	10.9463	11.0386	9.2276	6.43169	13.3844	11.5143	10.7807	8.31709	5.54807	12.0989	13.5819
SMARCB1	88.3907	46.7653	53.0651	37.9122	36.2597	94.3136	42.2298	52.0732	40.956	40.9539	55.7562	76.4992
SMARCC1	127.219	106.623	132.532	29.852	12.8938	138.034	116.459	139.651	29.9415	21.6709	157.538	92.4605
SMARCC2	25.9649	23.3624	29.3136	27.1365	19.2903	23.3258	22.848	27.6734	25.5201	16.7999	22.6245	26.1551
SMARCD1	72.7412	56.8107	80.3648	19.4004	21.5069	75.5206	60.0845	73.8843	19.7512	15.3252	73.2251	63.9616
SMARCD2	25.3802	18.3255	33.235	19.786	39.9264	30.7157	17.8743	30.4434	27.9841	51.8873	22.2028	28.9471
SMARCD3	7.67898	29.3914	4.58347	11.826	12.5113	4.32816	30.1707	4.09841	4.45352	3.86613	4.65155	38.7016
SMARCE1	144.129	138.204	91.8339	39.8188	80.3019	139.184	138.242	92.1928	40.8965	45.9182	152.619	111.838
SMC1A	41.9293	37.7646	35.9265	18.2229	7.01209	44.4814	40.6123	37.6804	11.9989	13.1256	48.5482	36.2958
SMC1B	1.01534	1.17473	1.12851	1.08048	1	1.02717	1.11564	1.14183	1.19146	1.05212	1.03921	1.09291
SMC2	32.3805	29.1526	29.7316	11.0423	2.0399	33.5361	29.9708	32.7056	9.3734	8.08357	44.835	22.3232
SMC3	72.9465	112.194	88.752	26.0289	16.9909	73.2734	119.363	95.6419	36.404	11.0146	96.866	77.3681
SMC4	87.1603	101.555	73.7762	23.7492	9.04645	89.1919	94.4556	77.7503	20.0971	20.5778	109.659	70.1258
SMC5	22.6369	30.2044	18.5442	15.7748	8.92034	23.673	27.895	19.5046	15.2507	9.56202	26.2851	24.2093
SMC5-AS1	1.28113	1	1.458	1.34092	1	1.18674	1.09343	1.14442	1.10363	1.12764	1.11977	1.22521
SMC6	45.2625	30.8058	41.6447	9.50041	9.4619	52.5689	31.4651	45.6511	9.67365	5.56263	69.3853	22.3867
SMCHD1	19.6566	32.2371	21.8457	17.5553	13.4713	17.5851	33.9648	24.7684	14.1051	6.44829	21.7217	27.1832
SMCO2	1	1.20865	1.25577	1.03809	1	1.146	1.21915	1.16937	1.04047	1.19902	1.04682	1.35216
SMCO3	1.09266	1.05864	1.05751	1.14997	1	1.10942	1.12318	1.09521	1.09082	1.16705	1.13159	1.06598
SMCO4	9.98172	10.9715	26.4386	16.927	111.29	11.4492	10.8153	20.2384	17.5054	30.8918	13.2581	9.86206
SMCP	1	1	1	1	1	1	1	1	1	1	1	1
SMCR5	1	1.04221	1	1.06169	1	1	1	1.09136	1.11431	1.08026	1	1.02374
SMCR8	9.16426	9.41663	8.94174	8.54032	4.30234	9.17899	9.03515	9.24837	11.5654	11.1188	7.94476	10.467
SMCR9	1.17311	1.65733	1	1	1	1	1	1	1.25722	1	1.1475	1
SMDT1	12.5913	7.76513	7.47445	20.0818	141.469	11.2661	7.73443	6.86644	21.4678	28.5375	11.1328	5.76904
SMEK1	40.5333	52.3058	59.8634	25.4515	31.2678	40.5301	50.3704	59.7103	28.192	21.7881	47.6713	38.1845
SMEK2	28.8016	33.5585	20.1288	22.6677	27.8211	29.6627	31.7176	21.019	30.9944	22.5995	35.6943	27.1454
SMEK3P	1	1	1.01867	1	1	1	1	1	1	1	1	1
SMG1	12.3037	26.8727	24.1541	17.4332	8.10826	12.0371	30.1686	26.6493	18.1196	9.05742	14.3141	23.8319
SMG1P1	1.07327	1.11592	1.21599	1.36615	1.24994	1.08652	1.16233	1.12546	1.02065	1	1.10405	1.15652
SMG1P2	1.47973	1.63756	1.34239	1.05548	1.65503	1.4957	1.59523	1.41074	1.44619	1.43124	1.42239	1.54658
SMG1P3	1.26632	2.31003	1.72124	1.42841	1.24777	1.31092	2.3196	1.74625	1.39099	1.95691	1.37133	2.28009
SMG1P5	1.00001	1.00001	1.00001	1.328	1	1.00001	1.00001	1.00001	1.39963	1.41192	1.00001	1.00001
SMG1P7	1.62617	2.38699	2.13347	1.67555	2.4297	1.46216	3.12731	2.21522	1.86969	2.69456	2.18567	2.1519
SMG5	25.4628	23.4428	32.6471	21.1793	26.6332	27.5908	26.0929	32.0821	23.3871	39.5408	20.5481	35.5138
SMG6	12.9226	21.4062	10.674	12.0446	14.4542	12.4433	22.2319	10.804	11.0742	13.1455	11.2198	25.1578
SMG7	31.1284	29.3411	35.3621	23.0776	20.9995	28.696	32.2935	34.9133	21.4062	17.2325	32.952	28.0464
SMG7-AS1	1.23474	1.04952	1.14569	1.50662	1	1.25411	1.17337	1.0804	1.70915	1.28189	1.04445	1.1393
SMG8	20.5685	20.3587	17.1652	7.58232	4.92767	20.0798	22.9885	16.2416	8.20716	6.82681	24.4188	18.5241
SMG9	12.1419	6.54773	7.99124	9.46768	11.6482	12.537	8.04294	6.6116	8.38538	11.9717	9.37696	8.55493
SMIM1	1.5571	1	1	11.0101	1	1.16446	1	1.19078	41.7521	2.72356	1	1
SMIM10	1.92523	1.75284	3.584	3.07741	2.81369	1.93652	1.35143	2.9465	1.74563	6.89227	1.60067	1.28237
SMIM11	17.0205	11.4056	17.7195	10.1704	27.2184	18.9976	10.752	17.5467	12.6367	20.0385	17.9558	8.11508
SMIM12	5.23442	6.35353	6.56454	4.73399	10.4185	5.12488	6.75538	6.57717	5.9579	14.5235	4.91444	6.47912
SMIM13	10.3255	16.0234	7.90377	8.54202	3.40971	7.9388	16.3878	8.60597	6.44416	6.05292	9.50335	11.3382
SMIM14	6.97355	17.0924	13.099	22.4678	26.7367	7.00561	15.5946	12.8188	13.7075	19.7338	9.11651	14.8822
SMIM15	31.3482	35.8028	32.364	25.4298	50.2755	30.9361	33.357	34.8071	30.436	37.8074	39.7237	24.1979
SMIM17	1.72793	1.76251	1.18694	1.69652	1	1.62248	1.40043	1.28369	1.36887	1.13561	1.62026	1.53623
SMIM18	1.99636	1.37833	1	2.03493	1	1.35298	1.26491	1	1.14723	1.3639	1.25469	1
SMIM19	68.8582	75.6699	65.8614	37.9106	66.418	68.569	62.7952	68.573	31.3011	32.1011	88.5148	50.7353
SMIM2	1.0581	1	1.06677	1.22368	1	1.1369	1	1	1.17021	1	1.14853	1.06206
SMIM2-AS1	1	1.16313	1.21962	1.25797	9.90834	1.07049	1	1.30516	1.70111	2.18422	1.05061	1.12689
SMIM2-IT1	1	1	1	1	1	1	1	1	1	1	1	1
SMIM20	37.4431	35.9392	54.3513	21.4329	84.9296	36.8703	30.2801	51.3211	21.568	40.8852	44.9553	23.288
SMIM21	1	1	1	1	3.07599	1	1	1	1	1	1	1
SMIM22	1	1	1	24.3366	325.585	1	1	1	36.3228	11.1509	1	1.07571
SMIM23	1	1	1	1	1	1	1	1	1	1	1	1
SMIM24	1.4168	1.31653	3.87132	146.986	1820.31	2.69809	1.11082	4.08331	384.374	186.759	2.13648	1.26712
SMIM3	15.7956	3.35397	32.2411	11.1104	22.4873	20.2535	3.52731	29.4498	6.10258	22.2962	19.6876	3.97241
SMIM4	13.6948	12.8238	20.1765	15.7129	57.1641	10.7585	14.3737	18.719	14.9499	9.08618	16.7154	15.5833
SMIM5	1.02831	1.02688	1.08974	3.24619	121.615	1.01254	1.1145	1.02909	5.70962	13.005	1.02412	1.27728
SMIM6	1.09405	1	1	5.29886	73.2588	1	1	1.19325	5.72322	12.3236	1.08014	1.50228
SMIM7	48.7922	40.3642	43.8092	28.1825	44.4452	45.596	43.1116	41.7993	36.1451	48.1416	49.8078	34.9969
SMIM8	10.1986	10.0345	6.38411	5.03046	5.89954	8.9174	10.5855	7.15832	3.72947	5.34905	11.6574	9.31999
SMIM9	1	1	1	1	1	1	1	1	1	1	1	1
SMKR1	1.63559	1.13408	1.72318	1.58725	1	1.75056	1.46941	1.8707	1.10413	1.12826	1.66192	1.2263
SMLR1	1	1	1	8.63114	19.7632	1.0225	1	1.0261	26.2199	2.41841	1.02165	1.02714
SMN1	2.13799	2.37232	1.38852	1.26744	1.00021	2.00077	1.88319	1.66762	3.38864	1.00021	1.92247	1.74434
SMN2	1.0586	1.05813	1.06518	1.07043	1.94824	1.059	1.05943	1.06086	1.05734	1.83259	1.05934	1.06035
SMNDC1	49.3961	80.0022	52.6697	16.9249	22.7962	51.8663	79.7863	54.5235	17.8556	17.0625	62.5413	54.5488
SMO	18.8235	8.2536	15.3349	16.79	1.34025	18.2277	7.47014	14.5168	12.3194	2.64272	12.0542	13.6152
SMOC1	17.6519	1.0319	2.00116	2.17775	2.03263	19.4986	1.02234	2.07048	1.59228	1.69495	19.7139	1.08974
SMOC2	1.82598	2.62633	7.63927	9.87566	2.23876	1.48175	3.14257	8.14121	3.88552	41.3444	1.9098	2.97975
SMOX	3.47833	2.78899	2.31457	4.7558	35.1486	3.91849	2.73039	2.32187	6.12368	15.1316	2.33704	5.54312
SMPD1	3.61668	4.64002	1.24105	12.865	16.9478	3.31468	4.99029	1.37245	18.2477	15.607	2.45686	6.83186
SMPD2	4.80469	4.84991	6.18201	8.23398	13.1786	4.38062	5.80998	4.75832	9.14812	10.9698	3.71033	5.9265
SMPD3	1.39395	1.044	1.24809	21.7604	94.666	1.13341	1.09242	1.35714	22.9855	56.6157	1.1086	1.0495
SMPD4	12.2392	11.3791	14.4303	9.20998	15.8051	12.4868	11.792	13.9606	13.2367	15.5438	9.35053	14.2487
SMPDL3A	3.60668	3.08062	4.0594	32.5257	81.1271	2.97871	4.71628	3.75798	55.008	15.3167	2.93284	3.66358
SMPDL3B	5.41913	7.50664	23.5887	7.00133	17.62	5.71917	5.77943	21.9734	11.4183	17.1847	4.08363	7.03302
SMPX	1	1.15241	1.06559	1.72304	7.65206	1	1.10672	1	1.47385	1.14607	1	1
SMR3A	1	1	1	1	1	1	1	1	1	1	1	1
SMR3B	1	1	1	1	1	1	1	1	1	1	1	1.10789
SMS	63.5069	72.3303	91.6935	14.0386	32.8828	70.2603	64.9508	94.5381	20.208	33.956	76.0767	48.8992
SMTN	2.45116	1.97342	2.02695	48.9126	8.33738	3.30342	1.57623	1.69685	23.6588	28.524	1.91534	3.08406
SMTNL1	2.38085	1.07711	1.18904	1.19714	1.83542	2.72657	1	1.20864	1.7469	1.51346	1.89975	1.17352
SMTNL2	2.79479	1.12859	2.07186	1.79813	1	2.94951	1.04502	1.69586	5.97688	2.03844	2.52931	1.14468
SMU1	17.8041	17.6801	15.2791	6.41696	9.19218	20.4038	17.0294	15.2972	7.65379	8.31295	20.8296	13.1876
SMUG1	15.6792	11.0335	12.8818	12.6939	55.9537	14.0826	12.0582	10.3745	19.0104	17.6301	12.6203	16.2165
SMURF1	9.934	15.8605	13.0378	9.20405	9.72456	9.13265	15.2868	12.989	8.36727	7.63419	9.36799	16.3544
SMURF2	15.888	21.0206	14.6509	9.17299	8.22115	15.3072	22.2619	16.4117	7.94276	5.03373	16.6627	18.6657
SMYD1	1	1	1.02586	4.18069	2.42194	1	1	1.08563	1.34672	1.24963	1.01184	1.01484
SMYD2	34.0877	13.4888	5.35295	16.471	31.9691	35.7449	16.2241	5.31561	20.7912	9.22887	41.8554	10.989
SMYD3	22.5353	14.5396	17.3162	6.16845	7.71901	26.1	14.6947	15.9903	5.7066	3.44336	28.1674	12.7496
SMYD4	9.1138	9.41733	9.24133	5.27928	6.23704	9.77195	9.27397	9.19043	7.31169	7.25702	9.60877	9.24173
SMYD5	16.696	12.4109	26.733	9.73502	6.60404	19.2789	13.9753	25.4453	12.1678	13.8805	14.9246	16.4923
SNAI1	6.62637	2.78036	2.60044	1.94835	1	11.693	3.07768	2.84663	5.1384	7.49039	7.12586	6.4255
SNAI2	13.1993	1.99431	2.37659	21.385	6.69343	7.68471	2.35147	2.13946	15.176	8.16442	9.00617	1.98717
SNAI3	1.07778	1	2.01374	1.59334	3.39925	1.06889	1.0517	1.79916	1.37187	1.98305	1.03314	1.29079
SNAI3-AS1	1.79141	1.60065	1.5645	2.18875	1.54096	1.57374	1.66591	1.40631	2.0646	3.21133	1.35943	1.80325
SNAP23	38.0131	54.859	41.9583	29.5839	92.8696	36.8742	51.9705	44.1256	70.6937	36.3523	44.1113	40.2943
SNAP25	6.36107	1.36137	1.64969	20.0323	2.95456	5.15816	1.2952	1.74963	3.44862	9.12226	5.83839	1.06777
SNAP25-AS1	1.34083	1	1	1	1	1.20753	1.02832	1	1	1	1.21781	1
SNAP29	7.65412	8.99204	6.44046	9.51175	17.8831	7.08558	9.88438	6.52881	9.16714	14.8578	7.92712	8.03032
SNAP47	12.1783	10.5298	12.644	10.6949	14.9197	12.4624	9.58441	12.9311	9.42606	13.4485	12.3051	10.3898
SNAP91	2.35328	1.74934	1.69992	5.92716	1	1.21643	1.9496	1.77582	1.19325	2.21654	1.31626	2.08417
SNAPC1	14.9775	16.0864	11.7841	3.45737	1.98178	17.5555	13.2498	12.5577	3.40909	3.58561	19.7828	11.7118
SNAPC2	4.30492	1.53783	2.67019	8.95013	14.6124	4.01072	2.25529	2.11569	6.22916	15.2561	3.33332	4.32842
SNAPC3	27.4302	29.4046	13.0568	12.6754	3.91257	30.5754	26.5559	13.3472	12.5108	5.89438	37.4276	23.7238
SNAPC4	3.48157	3.23044	4.1335	5.4332	6.13418	3.02251	4.14104	3.67172	6.77543	7.00097	2.37218	5.10291
SNAPC5	11.5495	14.9763	14.0823	9.40056	3.56773	11.7728	10.9209	16.5591	9.02097	11.237	10.3657	15.7485
SNAPIN	33.1373	24.5014	22.6585	18.4612	39.6373	29.6175	21.1243	21.9907	14.3666	24.9897	37.9172	18.0459
SNAR-A1	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-A11	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-A12	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-A13	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-A14	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-A3	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-A5	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-A8	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-A9	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-B2	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-C2	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-C3	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-C4	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-D	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-E	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-F	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-G1	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-G2	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-H	1	1	1	1	1	1	1	1	1	1	1	1
SNAR-I	1	1	1	1	1	1	1	1	1	1	1	1
SNCA	7.52783	3.09557	7.79991	6.37022	1.42689	8.0025	3.02095	7.67582	1.47421	5.79768	8.30239	2.8463
SNCA-AS1	1	1	1	1.06587	1	1	1	1.1956	1	1	1	1
SNCAIP	4.6407	1.36423	4.91925	7.26345	2.0099	3.04356	1.27822	5.11215	3.30634	2.0664	3.18315	1.42847
SNCB	1.26944	1	2.65554	1.18679	1	1.52501	1.14328	2.49494	1	1.683	1.09183	1.34537
SNCG	1.84915	1	1.87834	16.5517	4.91865	1.58494	1	1.58163	1.83621	17.1798	1.08039	1
SND1	114.305	107.026	103.669	49.5937	39.5744	124.587	113.988	105.242	75.3775	55.5613	103.1	129.502
SND1-IT1	1	1.14134	1.25411	1.1205	1	1.04396	1.59379	1.22946	1.09116	1.3128	1.06343	1.34457
SNED1	1.20359	1.23528	1.53628	2.66585	1.90536	1.19599	1.1887	1.49248	3.12266	4.38522	1.06788	1.15152
SNF8	41.4229	52.238	52.4926	19.6261	69.407	44.4771	56.2842	47.5518	27.9901	32.6174	39.1112	61.0137
SNHG1	220.911	186.416	279.783	38.3355	19.5678	203.732	205.43	267.121	42.1645	41.5339	220.717	125.341
SNHG10	4.87346	2.94634	5.04499	4.90032	1	4.41998	2.25185	3.97781	5.51071	11.5534	4.30939	2.26973
SNHG11	5.32002	4.28078	4.46483	7.67867	21.6008	5.59137	5.9478	4.61913	7.41702	6.66899	4.4545	6.89225
SNHG12	16.686	14.3287	27.244	16.5679	62.6724	12.5611	15.4365	25.7944	25.1703	17.2562	19.413	11.0764
SNHG15	17.0675	12.1606	29.73	12.6696	11.1793	20.003	11.0287	24.1519	12.1464	20.8531	12.9378	14.1857
SNHG16	77.3675	30.9155	45.5457	9.35703	11.7946	89.629	32.1228	51.408	17.3424	37.8639	72.5233	26.5406
SNHG17	9.57066	7.88668	13.1758	12.6533	8.4008	9.57757	7.97757	10.2799	9.76327	10.2354	6.46423	9.42969
SNHG18	4.79653	19.7583	5.17307	6.23308	20.7769	3.87635	18.9383	4.00777	12.4111	16.05	4.00111	18.3936
SNHG20	2.38382	3.01736	4.49832	3.50492	3.45279	2.72685	3.5621	5.39721	4.92431	5.09053	2.18225	2.81545
SNHG21	5.38892	4.61473	5.29076	7.47613	3.27706	5.46572	4.22344	4.95539	5.29273	5.53862	5.60803	5.28481
SNHG22	1.04159	1	1.07744	1.84253	1	1.03684	1	1	1.76495	1.15027	1.03544	1
SNHG3	34.2345	34.4627	71.4159	9.69958	8.10736	36.7223	42.449	71.0829	16.5183	36.2019	38.0538	30.2917
SNHG4	13.5734	20.5385	49.981	2.53037	1	14.7217	20.8121	49.6288	1.30597	4.50272	14.0496	20.6201
SNHG5	484.418	426.445	496.469	122.371	332.637	461.572	363.006	460.869	185.177	32.3248	553.849	260.008
SNHG6	322.873	177.679	186.286	100.179	312.565	325.634	147.996	176.019	136.328	68.892	315.373	116.771
SNHG7	29.4885	10.123	17.3528	35.7954	143.437	18.2615	7.7349	14.8415	42.8962	55.786	19.6541	9.25307
SNHG8	362.228	328.431	454.046	134.091	350.339	290.498	314.727	360.405	271.997	242.372	383.729	163.197
SNHG9	8.49227	10.4832	14.9497	18.7303	1	7.63573	4.32005	4.84892	14.9508	1	2.06401	9.00284
SNIP1	9.34759	9.00028	7.18212	4.90482	7.00577	9.19637	9.66857	8.28877	5.55212	5.19341	10.8398	7.3811
SNN	33.0481	22.0291	27.4569	8.27458	22.8021	31.2762	22.033	27.0948	4.44646	12.6198	30.6376	24.4589
SNORA1	11.6093	101.714	50.3831	33.5772	1	19.7928	184.351	55.5021	24.9421	1	46.2002	34.9969
SNORA10	1	37.7692	19.0291	1	1	9.57625	1	20.898	43.5162	1	1	11.3432
SNORA11	1	20.5328	1	13.6665	1	1	69.384	1	12.4989	1	1	11.9891
SNORA11B	1	1	1	1	1	1	1	1	1	1	1	1
SNORA11C	1	1	1	1	1	1	1	1	1	1	1	1
SNORA11D	1	1	1	1	1	1	1	1	1	1	1	1
SNORA11E	1	1	1	1	1	1	1	1	1	1	1	1
SNORA12	14.0698	13.4071	13.1672	9.29838	1	12.5756	9.6874	21.1426	1	1	1	1
SNORA13	1	19.3846	46.0727	6.98839	1	1	1	10.949	11.629	1	1	1
SNORA14A	1	1	1	1	1	1	1	1	1	1	1	1
SNORA14B	1	35.6488	1	12.3354	1	1	37.3915	1	10.8474	1	1	1
SNORA15	1	1	1	1	1	1	13.8728	1	22.2581	1	9.25098	21.6863
SNORA16A	1	1	1	70.9018	1	9.32409	1	29.9694	52.1397	56.2811	17.0168	21.0781
SNORA16B	10.6849	1	10.0162	6.98839	1	9.57805	26.7457	10.9506	11.629	1	1	21.6863
SNORA17	1	1	22.7564	22.5989	1	23.1609	53.7969	12.504	1	47.0156	34.6667	1
SNORA18	90.8161	95.7356	140.356	191.888	1	62.8707	200.001	195.815	166.783	63.659	60.5242	150.235
SNORA19	1	23.8525	12.2053	1	1	1	1	1	1	1	1	1
SNORA20	20.9591	95.7356	112.484	25.6307	1	27.516	120.401	83.0272	34.1813	1	18.0069	75.6174
SNORA21	30.0498	129.692	1	18.9652	1	9.57625	78.237	40.7959	11.629	236.218	9.25098	11.3432
SNORA22	47.9929	215.134	9.74949	1	1	17.6482	38.483	20.3136	21.4573	1	33.0335	71.2733
SNORA23	1	64.1431	10.5265	1	1	5.53165	14.6039	14.1425	1	7.86047	7.53966	6.46527
SNORA24	11.2881	1	29.733	58.0093	1	10.1121	28.3538	53.8522	46.9958	134.774	18.5329	33.9715
SNORA25	80.8366	57.8414	10.2904	148.784	1	45.1934	133.667	21.5068	133.626	1	26.5104	54.2982
