Genes	AS1	D4CF1	ES1	FS1	AS1	D4CF2	ES2	FS2	AS3	D4CF3	DE3	ES3
ACSL5	1.03898	1.14802	1.01814	67.7504	357.7	1.1381	1	1.06007	112.912	94.9332	1.11625	1.06245
ACSL6	2.05897	1.01827	1.69009	1.41414	3.16652	2.44081	1.05119	1.63431	1.65709	2.0545	2.50105	1.03084
ACSM1	1.06355	1	1.05916	1.11019	1	1.02814	1	1.19587	1.07007	1.05729	1.02707	1
ACSM2A	1	1	1	1.04426	1	1	1	1	1	1.1148	1	1
ACSM2B	1	1	1	1.03696	1	1	1	1	1.05875	1	1	1
ACSM3	4.85253	1.19731	3.45807	10.0629	4.97409	7.06871	1.4276	3.51751	6.27261	2.2405	5.65357	1.3963
ACSM4	1.03813	10.991	1	1.07933	1	1	7.48872	1	1.02805	1	1	10.1645
ACSM5	1	1	1	1.07352	1.54366	1	1	1	1	1.47727	1	1
ACSS1	1.5682	1.04987	1.80997	31.4617	46.8387	1.16283	1	1.76625	52.9793	26.7445	1.1513	1.03793
ACSS2	11.2496	6.54795	14.375	24.4137	102.653	12.862	8.53389	14.192	12.2064	74.9504	11.9028	11.6407
ACSS3	17.3052	55.8246	15.1363	2.71268	1.85047	22.0371	59.0508	17.1345	3.22469	1.89589	29.0521	48.0862
ACTA1	3.41488	1.86507	6.4718	11.0465	45.0895	3.34057	2.33258	6.00909	14.1437	1.2471	2.70827	3.28743
ACTA2	50.7459	1.37296	5.66307	570.864	67.7633	51.9323	1.78343	6.29803	44.2869	139.756	50.7963	2.36386
ACTB	843.775	1527.98	1469.17	856.92	3394.89	732.783	1512.43	1490.75	1020.17	3133.24	730.187	1721.89
ACTBL2	1	1	1	1	1	1	1	1	1	1	1	1
ACTC1	6.81986	11.6663	25.3807	15.857	12.7149	6.94408	14.1258	22.2914	4.73018	1.03025	7.07696	13.2533
ACTG1	1260.12	1390.08	996.816	937.937	1642.9	978.384	1508.14	961.21	864.656	2631.13	934.945	1623.12
ACTG1P4	1.26391	1.18789	1.12284	1.6864	1	1.02922	1.17542	1.23725	1.26679	1	1.02811	1.14094
ACTG2	4.76177	2.22856	7.73111	855.205	25.6862	2.30269	3.11066	7.52354	35.2363	59.2463	2.55327	2.61312
ACTL10	1	1	1.05991	2.02654	2.32171	1	1.04277	1	2.22998	7.67221	1	1
ACTL6A	120.817	73.16	92.1265	23.1465	25.7757	122.087	79.5731	89.9009	24.6894	17.5575	166.639	52.0062
ACTL6B	1.75182	1	1.16468	4.15851	1	1	1	1.18175	1.16271	1.15986	1.03768	1
ACTL7A	1	1	1	1	1	1	1	1	1	1	1	1.04735
ACTL7B	1	1	1	1	1	1	1	1	1	1.08824	1	1
ACTL8	1	1	1.16486	1	1	1.03137	1.04708	1.18195	1	1.12781	1.03018	1.03783
ACTL9	1	1	1	1	1	1	1	1	1	1	1	1
