Gene	Sample	RPKM
DCDC2	Adult-SI	0.141871
DCDC2	D4CF	1.06406
DCDC2	ESC	0.099203
DCDC2	Endo	0.0295031
DCDC2	Fetal-SI	3.52607
DDX43	Adult-SI	0.0296003
DDX43	D4CF	0
DDX43	ESC	0.141706
DDX43	Endo	0
DDX43	Fetal-SI	0.154498
DEFB105A	Adult-SI	0
DEFB105A	D4CF	0
DEFB105A	ESC	0
DEFB105A	Endo	0
DEFB105A	Fetal-SI	0
DEFB105B	Adult-SI	0
DEFB105B	D4CF	0
DEFB105B	ESC	0
DEFB105B	Endo	0
DEFB105B	Fetal-SI	0
DEFB106B	Adult-SI	0
DEFB106B	D4CF	0
DEFB106B	ESC	0
DEFB106B	Endo	0
DEFB106B	Fetal-SI	0
DEFB107B	Adult-SI	0
DEFB107B	D4CF	0
DEFB107B	ESC	0
DEFB107B	Endo	0
DEFB107B	Fetal-SI	0
DEFB110	Adult-SI	0
DEFB110	D4CF	0
DEFB110	ESC	0
DEFB110	Endo	0
DEFB110	Fetal-SI	0
DEFB132	Adult-SI	0.0192748
DEFB132	D4CF	0.00859904
DEFB132	ESC	0
DEFB132	Endo	0
DEFB132	Fetal-SI	0
DEFB133	Adult-SI	0
DEFB133	D4CF	0
DEFB133	ESC	0
DEFB133	Endo	0
DEFB133	Fetal-SI	0
DIRAS3	Adult-SI	1.39601
DIRAS3	D4CF	0.59579
DIRAS3	ESC	0.0574049
DIRAS3	Endo	0.728375
DIRAS3	Fetal-SI	1.33228
DKK1	Adult-SI	0.323301
DKK1	D4CF	60.4609
DKK1	ESC	0.204255
DKK1	Endo	58.4937
DKK1	Fetal-SI	0.379392
DLC1	Adult-SI	4.68477
DLC1	D4CF	11.0712
DLC1	ESC	1.19604
DLC1	Endo	60.252
DLC1	Fetal-SI	10.8609
DLEU2L	Adult-SI	0.0763884
DLEU2L	D4CF	0.967576
DLEU2L	ESC	0.51915
DLEU2L	Endo	1.34665
DLEU2L	Fetal-SI	0.819339
DMP1	Adult-SI	0
DMP1	D4CF	0.011476
DMP1	ESC	0.219398
DMP1	Endo	0.0596008
DMP1	Fetal-SI	0
DMRTA1	Adult-SI	0.017594
DMRTA1	D4CF	4.97958
DMRTA1	ESC	4.4747
DMRTA1	Endo	4.75418
DMRTA1	Fetal-SI	0.394424
DNAH5	Adult-SI	0.00239103
DNAH5	D4CF	0.233329
DNAH5	ESC	0.143163
DNAH5	Endo	0.0874373
DNAH5	Fetal-SI	0.130434
DNAJC15	Adult-SI	40.3171
DNAJC15	D4CF	2.52052
DNAJC15	ESC	5.40782
DNAJC15	Endo	30.365
DNAJC15	Fetal-SI	14.883
DNMT3B	Adult-SI	0.221661
DNMT3B	D4CF	35.1974
DNMT3B	ESC	336.42
DNMT3B	Endo	85.2848
DNMT3B	Fetal-SI	1.42387
DOCK11	Adult-SI	1.08684
DOCK11	D4CF	8.55419
DOCK11	ESC	3.38628
DOCK11	Endo	1.02652
DOCK11	Fetal-SI	1.76795
DPRX	Adult-SI	0
DPRX	D4CF	0.0866656
